codigo,ean,stock,precio,promo,descripcion
20,4005900838841,2,43576.0,No Promo,EUCERIN ANTIPIGMENT CREMA MANOS X75ML
20,4005900873347,2,70049.0,No Promo,EUCERIN DERMO PURE OIL CONTROL 40ML SERUM
20,4005900902900,2,4234.0,No Promo,NIVEA MANTECA DE KARITE CREMA CORPORAL 250ML
20,4005900903273,2,96658.0,No Promo,EUCERIN ANTI-PIGMENT ULTRA-LIGHT SERUM X30 M
20,4005900951526,2,33117.0,No Promo,EUCERIN PH5 LIGHT GEL CREAM x200ml
20,4005900985156,2,4234.0,No Promo,NIVEA MANTECA DE KARITE CREMA CORPORAL 250ML
20,4005900991058,2,86425.0,No Promo,EUCERIN HYALURON FILLER 3X EFFECT NOCHE CREM FACIAL REFILL 50ML
20,4006000040417,2,6459.0,No Promo,NIVEA SOFT BODY MILK 5EN1 PIEL SECA CREMA CO PORAL 250ML
20,4006000050188,2,3609.0,No Promo,NIVEA CREME CARE JABON 125GR 3U
20,4006000050461,2,3609.0,No Promo,NIVEA ANTIBACTERIAL 3EN1 JABON 3UNIDADES 90G
20,4580193650870,2,55284.0,No Promo,SILFAB TENSIËMETRO DIGITAL AUTOM-TICO DE MUĐ CA 99 MEMORIAS CON INDIC
20,4580193651440,2,90680.0,No Promo,CITIZEN TENSIOMETRO DIG.AUTOMATICO    c/MANG GDE CH305
20,4895125910176,2,15128.0,No Promo,BASICCARE MANICURA KIT x1u ART.1017
20,4895125912460,2,6400.0,No Promo,BASICC 1246 MAQ.AFEITAR P/CEJA
20,4895125916239,2,8316.0,No Promo,BASICC 1623 REMOVEDOR DE PUNTOS NEGROS
20,4895125932161,2,6023.0,No Promo,BASICCARE PEINE MULTIPROPOSITO x1u ART.3216
20,5012874101009,2,20453.0,2x1,RIMMEL DELINEADOR DE OJOS EXAGGERATE LIQ. BL CK 001 (0111096001)
20,5012909006941,2,17599.0,No Promo,AVENT DISPENSER p/LECHE EN POLVO caja x1u 13 /06
20,6001159129158,2,14062.0,No Promo,BIO OIL BODY LOTION HIDRATANTE X175ML
20,6902395806493,2,29010.0,No Promo,MAYBELLINE FIT ME ULTMT TWC SPF 220 ASJP
20,6902395825272,2,18237.0,No Promo,MAYBELLINE TATTO BROW 3D STYLING GEL MEDIUM ROWN 6ML
